"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 22 12:32:46 UTC 2022","Thu Dec 22 12:32:59 UTC 2022","12517","","Careers page","","Careers page","Check label of text and video player","Check label of text and video player",""
"passed","Thu Dec 22 12:32:46 UTC 2022","Thu Dec 22 12:32:57 UTC 2022","10833","","Data Privacy page","","Data Privacy page","Check URL and title of Telnyx Product Update","Check URL and title of Telnyx Product Update",""
"passed","Thu Dec 22 12:33:23 UTC 2022","Thu Dec 22 12:33:26 UTC 2022","3790","","Support Page check","","Support Page check","Ability to return to home page","Ability to return to home page",""
"passed","Thu Dec 22 12:32:46 UTC 2022","Thu Dec 22 12:33:02 UTC 2022","15999","","Home Page social links","","Home Page social links","Twitter for access and URL","Twitter for access and URL",""
"passed","Thu Dec 22 12:32:57 UTC 2022","Thu Dec 22 12:33:06 UTC 2022","8921","","Data Privacy page","","Data Privacy page","Check URL and title of GDPR Frequently Asked Questions","Check URL and title of GDPR Frequently Asked Questions",""
"passed","Thu Dec 22 12:32:46 UTC 2022","Thu Dec 22 12:33:07 UTC 2022","21091","","Report abuse page cheking form","","Report abuse page cheking form","Testing form for positive result","Testing form for positive result",""
"passed","Thu Dec 22 12:33:06 UTC 2022","Thu Dec 22 12:33:13 UTC 2022","6665","","Data Privacy page","","Data Privacy page","Check URL and title of Compliance","Check URL and title of Compliance",""
"passed","Thu Dec 22 12:33:07 UTC 2022","Thu Dec 22 12:33:27 UTC 2022","19374","","Check resources page filter","","Check resources page filter","Checking filter by product","Checking filter by product",""
"passed","Thu Dec 22 12:32:46 UTC 2022","Thu Dec 22 12:33:05 UTC 2022","18726","","About page","","About page","Check address of office Dublin on google map","Check address of office Dublin on google map",""
"broken","Thu Dec 22 12:33:02 UTC 2022","Thu Dec 22 12:33:15 UTC 2022","13094","","Home Page social links","","Home Page social links","Facebook for access and URL","Facebook for access and URL",""
"passed","Thu Dec 22 12:33:16 UTC 2022","Thu Dec 22 12:33:23 UTC 2022","6869","","Support Page check","","Support Page check","Ability to search and get results","Ability to search and get results",""
"passed","Thu Dec 22 12:33:12 UTC 2022","Thu Dec 22 12:33:25 UTC 2022","12858","","Checking SignUp page","","Checking SignUp page","Checking signup form with wrong credentials","Checking signup form with wrong credentials",""
"passed","Thu Dec 22 12:33:13 UTC 2022","Thu Dec 22 12:33:19 UTC 2022","6653","","Data Privacy page","","Data Privacy page","Check URL and title of Data Transfer Impact Assessment","Check URL and title of Data Transfer Impact Assessment",""
"passed","Thu Dec 22 12:33:15 UTC 2022","Thu Dec 22 12:33:25 UTC 2022","10134","","Home Page social links","","Home Page social links","Linked for access and URL","Linked for access and URL",""
